Campaign_ID,Product_ID,Budget,Clicks,Conversions,Revenue_Generated,ROI,Customer_ID,Subscription_Tier,Subscription_Length,Flash_Sale_ID,Discount_Level,Units_Sold,Bundle_ID,Bundle_Price,Customer_Satisfaction_Post_Refund,Common_Keywords
CMP_RLSDVN,PROD_HBJFA3,41770.45,4946,73,15520.09,1.94,CUST_1K7G39,Premium,4,FLASH_1VFK5K,43,34,BNDL_29U6W5,433.8,4,Affordable
CMP_JHHUE9,PROD_OE8YNJ,29900.93,570,510,30866.17,0.76,CUST_0DWS6F,Premium,4,FLASH_1M6COK,28,97,BNDL_ULV60J,289.29,2,Innovative
CMP_6SBOWN,PROD_4V8A08,22367.45,3546,265,32585.62,1.41,CUST_BR2GST,Basic,9,FLASH_J4PEON,51,160,BNDL_0HY0EF,462.87,4,Affordable
CMP_Q31QCU,PROD_A1Q6ZB,29957.54,2573,781,95740.12,3.32,CUST_6TBY6K,Premium,32,FLASH_1TOVXT,36,159,BNDL_AI09BC,334.16,1,Durable
CMP_AY0UTJ,PROD_F57N66,36277.19,818,79,81990.43,3.53,CUST_XASI45,Standard,29,FLASH_AOBHXL,20,52,BNDL_R03ITT,371.67,2,Affordable
CMP_5F4E9W,PROD_2CF719,41159.74,1259,763,65792.3,0.77,CUST_GH04I5,Basic,31,FLASH_9E2DOQ,17,88,BNDL_2AM8LH,194.93,2,Affordable
CMP_WDWHH6,PROD_QN8SL7,32787.71,3882,29,54205.71,4.84,CUST_TRQ4H8,Basic,9,FLASH_LS82UL,44,75,BNDL_XBACO2,232.09,1,Stylish
CMP_JECPN0,PROD_FN0KK1,38372.99,230,350,82083.18,0.74,CUST_XOGUSD,Premium,18,FLASH_V2S3TB,31,26,BNDL_EXVF5I,211.59,4,Stylish
CMP_WWJQBU,PROD_12IBBU,13332.96,4657,349,95260.16,0.75,CUST_5RON6U,Premium,2,FLASH_ILCNCW,29,78,BNDL_ZIETKV,495.94,4,Affordable
CMP_G2GXC0,PROD_HBPOK5,33407.18,3027,963,25569.45,2.15,CUST_VPSNHS,Basic,35,FLASH_PEQKQB,14,149,BNDL_MMC7NN,488.82,2,Durable
CMP_COTQ6A,PROD_5TH0MN,11456.22,4449,331,67630.55,2.37,CUST_FQ9NI5,Standard,33,FLASH_0JAK49,19,143,BNDL_HBLYHN,266.61,2,Durable
CMP_QJG0E7,PROD_OUBE8M,43196.51,3528,323,63178.82,4.42,CUST_Z76S5K,Standard,8,FLASH_DT3S2P,35,142,BNDL_VTKX1I,417.97,3,Stylish
CMP_QDIN64,PROD_IMDJIH,41208.27,2385,326,62705.47,4.93,CUST_L86JDL,Premium,23,FLASH_DAX2UB,41,158,BNDL_BDVQUD,193.41,2,Innovative
CMP_6EYKF8,PROD_QMDKTA,18180.18,2659,642,10906.87,3.96,CUST_4T8DV2,Premium,32,FLASH_NN061T,34,40,BNDL_YYI2SP,361.68,2,Innovative
CMP_3B83ZB,PROD_J71W0E,4189.15,1087,790,82691.34,3.43,CUST_ZCNXN7,Standard,6,FLASH_EWJRGF,62,120,BNDL_GQ1LUF,298.45,3,Stylish
CMP_HMY8JT,PROD_HB4HQ9,35505.09,868,309,22019.07,1.98,CUST_A015S4,Standard,23,FLASH_VS103U,31,185,BNDL_JW9VJE,209.6,4,Affordable
CMP_2TQ2R2,PROD_DV9KP8,4790.99,2872,940,81902.94,3.85,CUST_67QGEO,Premium,28,FLASH_5YP5BG,59,64,BNDL_YME8D2,233.93,2,Stylish
CMP_L4JQT7,PROD_IX0GZB,15891.2,1582,706,38536.95,4.17,CUST_6XK9SH,Basic,24,FLASH_1NCFSM,16,102,BNDL_3DH9UA,199.02,1,Stylish
CMP_E6LF3E,PROD_O4D7ED,13009.17,1332,580,50091.17,3.51,CUST_O2FW1J,Basic,27,FLASH_D6C2I2,20,80,BNDL_8DJT78,154.4,1,Affordable
CMP_56NUT9,PROD_HKCV8M,47193.29,3585,791,56029.73,1.55,CUST_KI8W0Y,Premium,25,FLASH_3GF57H,59,106,BNDL_XTOKZ5,384.44,1,Affordable
