Campaign_ID,Budget,Clicks,Conversions,Revenue_Generated,ROI,Subscription_Tier,Subscription_Length,Discount_Level,Units_Sold,Bundle_Price,Customer_Satisfaction_Post_Refund,Common_Keywords,Conversion_Rate,CPA,ROAS,Revenue_per_Unit
CMP_RLSDVN,41770.45,4946,73,15520.09,1.94,Premium,4,43,34,433.8,4,Affordable,0.014759401536595228,572.1979452054794,0.3715566866050043,456.47323529411767
CMP_JHHUE9,29900.93,570,510,30866.17,0.76,Premium,4,28,97,289.29,2,Innovative,0.8947368421052632,58.62927450980392,1.0322812701812285,318.2079381443299
CMP_6SBOWN,22367.45,3546,265,32585.62,1.41,Basic,9,51,160,462.87,4,Affordable,0.07473209249858996,84.40547169811322,1.4568321377716278,203.660125
CMP_Q31QCU,29957.54,2573,781,95740.12,3.32,Premium,32,36,159,334.16,1,Durable,0.3035367275553828,38.35792573623559,3.1958605412861,602.1391194968553
CMP_AY0UTJ,36277.19,818,79,81990.43,3.53,Standard,29,20,52,371.67,2,Affordable,0.09657701711491443,459.20493670886077,2.2601097273520905,1576.7390384615383
CMP_5F4E9W,41159.74,1259,763,65792.3,0.77,Basic,31,17,88,194.93,2,Affordable,0.6060365369340747,53.94461336828309,1.5984624781400467,747.6397727272728
CMP_WDWHH6,32787.71,3882,29,54205.71,4.84,Basic,9,44,75,232.09,1,Stylish,0.007470376094796497,1130.6106896551723,1.6532325679347537,722.7428
CMP_JECPN0,38372.99,230,350,82083.18,0.74,Premium,18,31,26,211.59,4,Stylish,1.5217391304347827,109.63711428571428,2.1390874153929627,3157.045384615384
CMP_WWJQBU,13332.96,4657,349,95260.16,0.75,Premium,2,29,78,495.94,4,Affordable,0.07494094910886837,38.20332378223495,7.144712051937455,1221.2841025641026
CMP_G2GXC0,33407.18,3027,963,25569.45,2.15,Basic,35,14,149,488.82,2,Durable,0.31813676907829536,34.69073727933541,0.7653878597355419,171.60704697986577
CMP_COTQ6A,11456.22,4449,331,67630.55,2.37,Standard,33,19,143,266.61,2,Durable,0.07439874129017757,34.610936555891236,5.90339134548743,472.9409090909091
CMP_QJG0E7,43196.51,3528,323,63178.82,4.42,Standard,8,35,142,417.97,3,Stylish,0.09155328798185941,133.73532507739938,1.4625908435658344,444.9212676056338
CMP_QDIN64,41208.27,2385,326,62705.47,4.93,Premium,23,41,158,193.41,2,Innovative,0.13668763102725368,126.40573619631901,1.5216719847739302,396.8700632911393
CMP_6EYKF8,18180.18,2659,642,10906.87,3.96,Premium,32,34,40,361.68,2,Innovative,0.24144415193681834,28.318037383177572,0.5999319038645382,272.67175000000003
CMP_3B83ZB,4189.15,1087,790,82691.34,3.43,Standard,6,62,120,298.45,3,Stylish,0.7267709291628335,5.302721518987341,19.739407755749973,689.0944999999999
CMP_HMY8JT,35505.09,868,309,22019.07,1.98,Standard,23,31,185,209.6,4,Affordable,0.35599078341013823,114.90320388349514,0.620166573299772,119.02199999999999
CMP_2TQ2R2,4790.99,2872,940,81902.94,3.85,Premium,28,59,64,233.93,2,Stylish,0.32729805013927576,5.096797872340425,17.09520161803719,1279.7334375
CMP_L4JQT7,15891.2,1582,706,38536.95,4.17,Basic,24,16,102,199.02,1,Stylish,0.44627054361567636,22.508781869688388,2.425049713048731,377.81323529411765
CMP_E6LF3E,13009.17,1332,580,50091.17,3.51,Basic,27,20,80,154.4,1,Affordable,0.43543543543543545,22.429603448275863,3.85045087426792,626.139625
CMP_56NUT9,47193.29,3585,791,56029.73,1.55,Premium,25,59,106,384.44,1,Affordable,0.2206415620641562,59.66281921618205,1.1872393299979722,528.5823584905661
CMP_MTSCPC,36564.68,4331,108,46426.93,1.23,Premium,21,31,177,410.3,3,Durable,0.024936504271530824,338.5618518518518,1.2697206703299468,262.2990395480226
